frame,n_detections,track_id,x,y,vx,vy,label,hits,frames_missing,confirmed,total_fibers_so_far,total_amorphous_so_far
27,2,4,6.57,72.77,-5.477,-8.409,amorphous,12,3,True,0,6
27,2,5,31.0,216.0,-14.237,-5.056,amorphous,13,0,True,0,6
27,2,6,60.8,86.8,-1.4,-4.4,amorphous,2,3,True,0,6
27,2,7,521.0,252.0,-5.25,-0.75,amorphous,4,0,True,0,6
28,2,3,-79.33,437.1,-38.333,56.526,amorphous,15,4,True,0,6
28,2,4,1.09,64.36,-5.477,-8.409,amorphous,12,4,True,0,6
28,2,5,26.0,232.0,-9.619,5.472,amorphous,14,0,True,0,6
28,2,6,23.0,205.0,-5.95,10.925,amorphous,3,0,True,0,6
28,2,7,515.75,251.25,-5.25,-0.75,amorphous,4,1,True,0,6
29,1,3,-117.67,493.63,-38.333,56.526,amorphous,15,5,True,1,5
29,1,4,-4.38,55.95,-5.477,-8.409,amorphous,12,5,True,1,5
29,1,5,16.38,237.47,-9.619,5.472,amorphous,14,1,True,1,5
29,1,6,17.05,215.93,-5.95,10.925,amorphous,3,1,True,1,5
29,1,7,328.0,249.0,-50.875,-1.125,fiber,5,0,True,1,5
30,1,5,6.76,242.94,-9.619,5.472,amorphous,14,2,True,0,6
30,1,6,11.1,226.85,-5.95,10.925,amorphous,3,2,True,0,6
30,1,7,281.0,247.0,-48.938,-1.562,amorphous,6,0,True,0,6
31,1,5,-2.86,248.42,-9.619,5.472,amorphous,14,3,True,0,6
31,1,6,5.15,237.78,-5.95,10.925,amorphous,3,3,True,0,6
31,1,7,287.0,254.0,-21.469,2.719,amorphous,7,0,True,0,6
32,1,5,-12.47,253.89,-9.619,5.472,amorphous,14,4,True,0,6
32,1,6,-0.8,248.7,-5.95,10.925,amorphous,3,4,True,0,6
32,1,7,339.0,252.0,15.266,0.359,amorphous,8,0,True,0,6
33,1,5,-22.09,259.36,-9.619,5.472,amorphous,14,5,True,1,5
33,1,6,-6.75,259.63,-5.95,10.925,amorphous,3,5,True,1,5
33,1,7,278.0,259.0,-22.867,3.68,fiber,9,0,True,1,5
34,1,7,226.0,260.0,-37.434,2.34,amorphous,10,0,True,0,6
35,1,7,202.0,264.0,-30.717,3.17,amorphous,11,0,True,0,6
36,1,7,216.0,263.0,-8.358,1.085,amorphous,12,0,True,0,6
37,0,7,207.64,264.08,-8.358,1.085,amorphous,12,1,True,0,6
38,1,7,104.0,262.0,-32.179,0.292,amorphous,13,0,True,0,6
39,1,7,45.0,265.0,-45.59,1.646,amorphous,14,0,True,0,6
40,1,7,34.0,267.0,-28.295,1.823,amorphous,15,0,True,0,6
41,1,7,68.0,267.0,2.853,0.912,amorphous,16,0,True,0,6
42,0,7,70.85,267.91,2.853,0.912,amorphous,16,1,True,0,6
43,1,7,73.71,268.82,2.853,0.912,amorphous,16,2,True,0,6
43,1,8,618.0,138.0,0.0,0.0,fiber,1,0,False,0,6
44,1,7,76.56,269.73,2.853,0.912,amorphous,16,3,True,1,6
44,1,8,531.0,127.0,-87.0,-11.0,fiber,2,0,True,1,6
45,2,7,79.41,270.65,2.853,0.912,amorphous,16,4,True,1,6
45,2,8,472.0,115.0,-73.0,-11.5,fiber,3,0,True,1,6
45,2,9,633.0,98.0,0.0,0.0,amorphous,1,0,False,1,6
46,1,7,82.26,271.56,2.853,0.912,amorphous,16,5,True,1,7
46,1,8,399.0,103.5,-73.0,-11.5,fiber,3,1,True,1,7
46,1,9,516.0,100.0,-117.0,2.0,amorphous,2,0,True,1,7
47,5,7,401.0,117.0,29.176,-12.044,amorphous,17,0,True,1,7
47,5,8,358.0,113.0,-65.0,-6.25,fiber,4,0,True,1,7
47,5,9,486.0,100.0,-73.5,1.0,amorphous,3,0,True,1,7
47,5,10,628.0,102.0,0.0,0.0,amorphous,1,0,False,1,7
47,5,11,591.0,98.0,0.0,0.0,amorphous,1,0,False,1,7
48,2,7,430.18,104.96,29.176,-12.044,amorphous,17,1,True,1,8
48,2,8,260.0,115.0,-81.5,-2.125,fiber,5,0,True,1,8
48,2,9,412.5,101.0,-73.5,1.0,amorphous,3,1,True,1,8
48,2,10,628.0,102.0,0.0,0.0,amorphous,1,1,False,1,8
48,2,11,579.0,96.0,-12.0,-2.0,amorphous,2,0,True,1,8
49,2,7,459.35,92.91,29.176,-12.044,amorphous,17,2,True,1,8
49,2,8,172.0,111.0,-84.75,-3.062,fiber,6,0,True,1,8
49,2,9,339.0,102.0,-73.5,1.0,amorphous,3,2,True,1,8
49,2,10,628.0,102.0,0.0,0.0,amorphous,1,2,False,1,8
49,2,11,539.0,93.0,-26.0,-2.5,amorphous,3,0,True,1,8
50,2,7,488.53,80.87,29.176,-12.044,amorphous,17,3,True,1,8
50,2,8,87.25,107.94,-84.75,-3.062,fiber,6,1,True,1,8
50,2,9,180.0,109.0,-87.75,2.0,amorphous,4,0,True,1,8
50,2,10,628.0,102.0,0.0,0.0,amorphous,1,3,False,1,8
